contact_id,customer_id,contact_type,contact_value,is_primary,verified,created_at
1,1,phone,82706537947,True,True,2025-12-05 00:42:45
2,1,email,вениамин.козлов1@example.kz,True,True,2025-12-05 00:42:45
3,1,address,"к. Соболево, наб. Гончарова, д. 5/7, 239240",True,False,2025-12-05 00:42:45
4,2,phone,8 (581) 814-12-47,True,True,2023-09-24 23:11:09
5,2,email,ирина.николаева2@example.kz,True,True,2023-09-24 23:11:09
6,2,address,"г. Кизел, наб. Нагорная, д. 1/7 к. 4, 153051",True,False,2023-09-24 23:11:09
7,2,phone,8 220 472 7790,False,False,2023-09-24 23:11:09
8,3,phone,+7 043 289 86 14,True,True,2024-05-18 17:14:56
9,3,email,елена.кудрявцева3@example.kz,True,True,2024-05-18 17:14:56
10,3,address,"г. Барнаул, пр. Л.Толстого, д. 917, 893246",True,False,2024-05-18 17:14:56
11,3,phone,+7 953 962 1851,False,False,2024-05-18 17:14:56
12,4,phone,8 (888) 806-7065,True,True,2025-07-16 09:35:43
13,4,email,варфоломей.ларионов4@example.kz,True,True,2025-07-16 09:35:43
14,4,address,"к. Борзя, алл. Крайняя, д. 3 к. 658, 772217",True,False,2025-07-16 09:35:43
15,4,phone,+7 430 305 4868,False,False,2025-07-16 09:35:43
16,5,phone,8 (403) 450-54-15,True,True,2025-08-06 15:51:45
17,5,email,софия.беляева5@example.kz,True,True,2025-08-06 15:51:45
18,5,address,"клх Саранск, наб. Техническая, д. 8/6 к. 2, 169284",True,False,2025-08-06 15:51:45
19,6,phone,8 115 447 9627,True,True,2024-04-29 09:26:44
20,6,email,феврония.родионова6@example.kz,True,True,2024-04-29 09:26:44
21,6,address,"г. Новая Игирма, пр. Прохладный, д. 616 стр. 30, 021355",True,False,2024-04-29 09:26:44
22,7,phone,8 909 275 57 19,True,True,2023-07-23 03:40:07
23,7,email,амос.новиков7@example.kz,True,True,2023-07-23 03:40:07
24,7,address,"с. Можайск, наб. Ленская, д. 802 стр. 9/2, 473947",True,False,2023-07-23 03:40:07
25,8,phone,+7 (121) 727-1551,True,True,2025-10-04 00:28:08
26,8,email,вадим.рябов8@example.kz,True,True,2025-10-04 00:28:08
27,8,address,"ст. Ербогачен, бул. Локомотивный, д. 9 стр. 41, 370589",True,False,2025-10-04 00:28:08
28,8,phone,8 782 911 4678,False,False,2025-10-04 00:28:08
29,9,phone,8 691 251 77 85,True,True,2024-10-08 07:31:53
30,9,email,елизавета.селезнева9@example.kz,True,True,2024-10-08 07:31:53
